source_index,title,artist_credit,primary_artist,release_groups,isrcs,cover_art_status,apple_music_search,spotify_search,youtube_music_search,musicbrainz_release_group_search,verified_cover_page_urls
31,Exposed,Mally Mall feat. Eric Bellinger & Lil Twist,Mally Mall,"Mally's World, Vol. 1",,needs_api_verification,https://music.apple.com/us/search?term=Exposed+Mally+Mall+feat.+Eric+Bellinger+%26+Lil+Twist,https://open.spotify.com/search/Exposed%20Mally%20Mall%20feat.%20Eric%20Bellinger%20%26%20Lil%20Twist,https://music.youtube.com/search?q=Exposed+Mally+Mall+feat.+Eric+Bellinger+%26+Lil+Twist,https://musicbrainz.org/search?query=Mally%27s+World%2C+Vol.+1&type=release_group&method=indexed,[]
32,Facetime,"L.A. Leakers, Eric Bellinger, Wale & AD",L.A. Leakers,Facetime,,needs_api_verification,https://music.apple.com/us/search?term=Facetime+L.A.+Leakers%2C+Eric+Bellinger%2C+Wale+%26+AD,https://open.spotify.com/search/Facetime%20L.A.%20Leakers%2C%20Eric%20Bellinger%2C%20Wale%20%26%20AD,https://music.youtube.com/search?q=Facetime+L.A.+Leakers%2C+Eric+Bellinger%2C+Wale+%26+AD,https://musicbrainz.org/search?query=Facetime&type=release_group&method=indexed,[]
33,Fed Up,"Jonn Hart feat. Rayven Justice, Eric Bellinger & Rossi",Jonn Hart,Cool Kid Cartel Collection 2,USUYG1056257,needs_api_verification,https://music.apple.com/us/search?term=Fed+Up+Jonn+Hart+feat.+Rayven+Justice%2C+Eric+Bellinger+%26+Rossi,https://open.spotify.com/search/Fed%20Up%20Jonn%20Hart%20feat.%20Rayven%20Justice%2C%20Eric%20Bellinger%20%26%20Rossi,https://music.youtube.com/search?q=Fed+Up+Jonn+Hart+feat.+Rayven+Justice%2C+Eric+Bellinger+%26+Rossi,https://musicbrainz.org/search?query=Cool+Kid+Cartel+Collection+2&type=release_group&method=indexed,[]
34,Fed Up,"Jonn Hart feat. Rayven Justice, Eric Bellinger & Rossi",Jonn Hart,"Heart 2 Hart 3 | iHart Collection, Pt. 1",USUYG1079055,needs_api_verification,https://music.apple.com/us/search?term=Fed+Up+Jonn+Hart+feat.+Rayven+Justice%2C+Eric+Bellinger+%26+Rossi,https://open.spotify.com/search/Fed%20Up%20Jonn%20Hart%20feat.%20Rayven%20Justice%2C%20Eric%20Bellinger%20%26%20Rossi,https://music.youtube.com/search?q=Fed+Up+Jonn+Hart+feat.+Rayven+Justice%2C+Eric+Bellinger+%26+Rossi,https://musicbrainz.org/search?query=Heart+2+Hart+3&type=release_group&method=indexed,[]
35,Follow My Lead,Chipmunk feat. Eric B,Chipmunk,Transition,,needs_api_verification,https://music.apple.com/us/search?term=Follow+My+Lead+Chipmunk+feat.+Eric+B,https://open.spotify.com/search/Follow%20My%20Lead%20Chipmunk%20feat.%20Eric%20B,https://music.youtube.com/search?q=Follow+My+Lead+Chipmunk+feat.+Eric+B,https://musicbrainz.org/search?query=Transition&type=release_group&method=indexed,[]
36,Freak,"Mally Mall feat. Eric Bellinger, Chinx Drugz & Too $hort",Mally Mall,Triple X-Mas,USUYG1087255,needs_api_verification,https://music.apple.com/us/search?term=Freak+Mally+Mall+feat.+Eric+Bellinger%2C+Chinx+Drugz+%26+Too+%24hort,https://open.spotify.com/search/Freak%20Mally%20Mall%20feat.%20Eric%20Bellinger%2C%20Chinx%20Drugz%20%26%20Too%20%24hort,https://music.youtube.com/search?q=Freak+Mally+Mall+feat.+Eric+Bellinger%2C+Chinx+Drugz+%26+Too+%24hort,https://musicbrainz.org/search?query=Triple+X-Mas&type=release_group&method=indexed,[]
37,Freak,Chrishan feat. Eric Bellinger,Chrishan,"TieDye, Pt. 2",QZK6P2218352,needs_api_verification,https://music.apple.com/us/search?term=Freak+Chrishan+feat.+Eric+Bellinger,https://open.spotify.com/search/Freak%20Chrishan%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Freak+Chrishan+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=TieDye%2C+Pt.+2&type=release_group&method=indexed,[]
38,Fresh,Kid Ink feat. Eric Bellinger,Kid Ink,Rocketshipshawty,,needs_api_verification,https://music.apple.com/us/search?term=Fresh+Kid+Ink+feat.+Eric+Bellinger,https://open.spotify.com/search/Fresh%20Kid%20Ink%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Fresh+Kid+Ink+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=Rocketshipshawty&type=release_group&method=indexed,[]
39,Fwu,Joe Moses feat. Eric Bellinger,Joe Moses,Westside II,,needs_api_verification,https://music.apple.com/us/search?term=Fwu+Joe+Moses+feat.+Eric+Bellinger,https://open.spotify.com/search/Fwu%20Joe%20Moses%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Fwu+Joe+Moses+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=Westside+II&type=release_group&method=indexed,[]
40,Go Crazy,Rayven Justice feat. Eric Bellinger,Rayven Justice,Do It Justice,,needs_api_verification,https://music.apple.com/us/search?term=Go+Crazy+Rayven+Justice+feat.+Eric+Bellinger,https://open.spotify.com/search/Go%20Crazy%20Rayven%20Justice%20feat.%20Eric%20Bellinger,https://music.youtube.com/search?q=Go+Crazy+Rayven+Justice+feat.+Eric+Bellinger,https://musicbrainz.org/search?query=Do+It+Justice&type=release_group&method=indexed,[]
